source_pr_number	source_pr_state	source_pr_title	source_pr_url	source_pr_author_login	source_pr_author_name	source_base_ref	source_head_ref	source_head_sha	source_merged_at	source_closed_at	import_kind	target_pr_number	target_pr_url	target_pr_is_draft	target_branch	target_base_branch	target_commit_sha
86	OPEN	Generalize Type 2 chatbot applications	https://github.com/MatrAIx-ai/MatrAIx/pull/86	YifanLiu2	Yifan Liu	app/recommender-agent-harbor-validate	app/chatbot-general	d9b0460c36d87b477eb9191b9a2266b7f8c51972	NA	NA	open_pr_snapshot	70	https://github.com/ElegantLin/PersonaBench/pull/70	true	codex/matraix-pr-snapshot-086-d9b0460c36	codex/matraix-main-061-e50592a4cb	6e63226201a0a157119024161dbbe4d638e819de
88	OPEN	Add Harbor-managed Medical Assistant adapter	https://github.com/MatrAIx-ai/MatrAIx/pull/88	elizabeth-fan	Elizabeth	app/recommender-agent-harbor-validate	codex/pr-86	2cf0758089986579e45a16e75dfac13d0e2dbd13	NA	NA	open_pr_snapshot	69	https://github.com/ElegantLin/PersonaBench/pull/69	true	codex/matraix-pr-snapshot-088-2cf0758089	codex/matraix-main-061-e50592a4cb	0842d67388c614db3d9e1c5aeb07c957dd6d8643
89	OPEN	[codex] Add real-feature survey instruments	https://github.com/MatrAIx-ai/MatrAIx/pull/89	elizabeth-fan	Elizabeth	app/chatbot-general	codex/chatbot-general-survey-prompts	09841620059affec6189e757f9aefd7e66b219a1	NA	NA	open_pr_snapshot	68	https://github.com/ElegantLin/PersonaBench/pull/68	true	codex/matraix-pr-snapshot-089-0984162005	codex/matraix-main-061-e50592a4cb	46a5991fe493501fd6a0736c703ee943220ed7e3
90	OPEN	Add Nemotron domain test user selections	https://github.com/MatrAIx-ai/MatrAIx/pull/90	rosierogao	NA	main	nemotron-domain-test-users	d6197e8ca9d61d1aa819e76ea8677c57f525781d	NA	NA	open_pr_snapshot	67	https://github.com/ElegantLin/PersonaBench/pull/67	true	codex/matraix-pr-snapshot-090-d6197e8ca9	codex/matraix-main-061-e50592a4cb	a8205cb6ccbf7af0562e9cd82a364b6231c930eb
91	OPEN	Add headless PersonaEval paper experiment runner	https://github.com/MatrAIx-ai/MatrAIx/pull/91	YifanLiu2	Yifan Liu	app/chatbot-general	app/persona-eval-paper-experiments	99f6259afb54c4bc8689dc16c070e29fc383e780	NA	NA	open_pr_snapshot	66	https://github.com/ElegantLin/PersonaBench/pull/66	true	codex/matraix-pr-snapshot-091-99f6259afb	codex/matraix-main-061-e50592a4cb	402a262fa8b0bb692ea19830dadd39f9e1a0f094
92	OPEN	Add Nemotron domain plot renderer	https://github.com/MatrAIx-ai/MatrAIx/pull/92	rosierogao	NA	nemotron-domain-test-users	nemotron-domain-test-users	2188455f5103af31c375f03aa7b0824c51947ade	NA	NA	open_pr_snapshot	65	https://github.com/ElegantLin/PersonaBench/pull/65	true	codex/matraix-pr-snapshot-092-2188455f51	codex/matraix-main-061-e50592a4cb	621ddf8033db5ff91b82a7f54e5c4b72624a17c2
93	MERGED	Update Persona team layout in README	https://github.com/MatrAIx-ai/MatrAIx/pull/93	JianhengHou	NA	main	feat/harbor-matraix-squash	0f73fc1172eac796b51252ead455dc8006cf127a	2026-06-26T06:54:08Z	2026-06-26T06:54:08Z	merged_pr_snapshot	115	https://github.com/ElegantLin/PersonaBench/pull/115	true	codex/matraix-pr-merged-snapshot-093-0f73fc1172	codex/matraix-main-061-e50592a4cb	16ce1b1b848a7e147fa0b115d09646d455e8c1e4
119	MERGED	Fix CI, split application/persona task catalogs, dimensions schema 1.0	https://github.com/MatrAIx-ai/MatrAIx/pull/119	JianhengHou	NA	main	feat/harbor-matraix-squash	614993d0d46f04cd62b718b01cc54e3eedb7cd8b	2026-06-26T08:49:27Z	2026-06-26T08:49:27Z	merged_pr_snapshot	116	https://github.com/ElegantLin/PersonaBench/pull/116	true	codex/matraix-pr-merged-snapshot-119-614993d0d4	codex/matraix-main-061-e50592a4cb	afe4cd92e1d8b7f302d0de32ee013cae73143caf
120	MERGED	Fix Windows CI and type-check scope for container runners	https://github.com/MatrAIx-ai/MatrAIx/pull/120	JianhengHou	NA	main	feat/harbor-matraix-squash	87469072d4f19103a3b39b026eb36fd3a0d6f5b8	2026-06-26T09:03:44Z	2026-06-26T09:03:44Z	merged_pr_snapshot	117	https://github.com/ElegantLin/PersonaBench/pull/117	true	codex/matraix-pr-merged-snapshot-120-87469072d4	codex/matraix-main-061-e50592a4cb	4767cadd7ffc99dc24c6f5a2dca3a47702656cd6
121	MERGED	Fix Windows path assertions in matraix tests	https://github.com/MatrAIx-ai/MatrAIx/pull/121	JianhengHou	NA	main	feat/harbor-matraix-squash	a2c51a78bdc7a55b638281606970d70e839d11e8	2026-06-26T09:11:15Z	2026-06-26T09:11:15Z	merged_pr_snapshot	118	https://github.com/ElegantLin/PersonaBench/pull/118	true	codex/matraix-pr-merged-snapshot-121-a2c51a78bd	codex/matraix-main-061-e50592a4cb	c5a18136d14cd7cd158fc30609a2d79c8bd32e1e
